"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Cooper Kupp","WR","LAR",7,20.7,1.18,1.36,19.2,22.1,10.7,11.2,8.83,1,1,4,1,"1",32,NA,NA,24,5
"Jonathan Taylor","RB","IND",14,18.9,1.37,1.54,16.7,20.6,9.67,9.44,9.22,2,2,2,1,"1",27,NA,NA,45,2
"Justin Jefferson","WR","MIN",7,19.4,1.6,1.61,17.1,21.6,9.29,9.04,8.3,3,3,5,2,"2",26,NA,NA,39,2
"Travis Kelce","TE","KC",8,15.5,1.38,1.18,13.7,17.1,8.48,8.21,8.84,4,7,3,1,"1",36,NA,NA,68,9
"Christian McCaffrey","RB","CAR",13,17.3,1.41,0.0213,15.6,18.9,8.13,8.35,7.57,5,5,10,2,"1",29,NA,NA,49,5
"Dalvin Cook","RB","MIN",7,17.3,1.41,0.0334,15,19,8.11,7.74,7.69,6,11,9,3,"1",30,NA,NA,51,5
"Joe Mixon","RB","CIN",10,17.3,1.51,0.4,15.2,19.4,8.07,7.93,8.04,7,9,8,4,"1",29,NA,NA,55,5
"Davante Adams","WR","LVR",6,17.7,1.27,0.846,16.3,19.4,7.68,8.31,6.09,8,6,20,3,"3",33,NA,NA,26,8
"Saquon Barkley","RB","NYG",9,16.9,1.56,0.793,15.4,19.4,7.67,8.12,8.08,9,8,7,5,"2",29,NA,NA,58,4
"Jalen Hurts","QB","PHI",7,25,3.2,0.0275,21.7,29.8,7.51,6.24,10.6,10,16,1,1,"1",27,NA,NA,91,2
"Josh Allen","QB","BUF",7,24.9,1.05,2.31,23.9,26.4,7.48,8.43,7.23,11,4,12,2,"2",29,NA,NA,14,4
"Mark Andrews","TE","BAL",10,14.3,1.7,2.53,12.2,16.3,7.3,6.74,8.12,12,14,6,2,"2",30,NA,NA,71,4
"Austin Ekeler","RB","LAC",8,16.1,1.02,0.287,15,17.6,6.88,7.75,6.28,13,10,19,6,"2",30,NA,NA,17,NA
"Ja'Marr Chase","WR","CIN",10,16.9,1.73,0.231,15,19,6.83,6.93,5.74,14,13,21,4,"3",26,NA,NA,50,1
"Stefon Diggs","WR","BUF",7,16.7,1.44,0.543,15.2,18.8,6.6,7.16,5.45,15,12,25,5,"3",32,NA,NA,35,7
"Derrick Henry","RB","TEN",6,15.8,2.06,0.238,12.4,17.9,6.59,5.12,6.58,16,22,16,7,"2",32,NA,NA,82,6
"Leonard Fournette","RB","TB",11,15.6,1.39,0.0224,14,17.7,6.35,6.71,6.4,17,15,17,8,"2",29,NA,NA,46,5
"Nick Chubb","RB","CLE",9,15.6,2.11,0.609,12.8,18.4,6.33,5.59,7.04,18,18,14,9,"3",30,NA,NA,85,4
"Deebo Samuel","WR","SF",9,16.1,1.74,0.961,13.6,17.8,6.06,5.55,4.54,19,20,30,6,"4",30,NA,NA,51,3
"David Montgomery","RB","CHI",14,14.9,1.87,0.204,12.8,18,5.72,5.56,6.66,20,19,15,10,"3",28,NA,NA,73,3
"Aaron Jones","RB","GB",14,14.7,1.62,0.478,13.1,16.9,5.52,5.84,5.59,21,17,23,11,"3",31,NA,NA,62,5
"Lamar Jackson","QB","BAL",10,22.6,1.73,0.436,20.6,24.6,5.17,5.12,5.47,22,23,24,3,"2",29,NA,NA,60,4
"Tyreek Hill","WR","MIA",11,15.2,1.67,0.0553,12.7,17.1,5.1,4.72,3.85,23,26,39,7,"4",32,NA,NA,47,6
