"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Saquon Barkley","RB","NYG",9,18.8,1.44,1.34,17.5,21.2,10.1,10.6,9.7,1,1,4,1,"1",29,NA,NA,51,4
"Travis Kelce","TE","KC",8,16.3,0.934,1.03,14.7,17.3,9.62,9.59,9.81,2,2,3,1,"1",36,NA,NA,48,9
"Cooper Kupp","WR","LAR",7,19.5,1.05,2.12,18.3,20.7,9.19,9.49,7.04,3,3,12,1,"1",32,NA,NA,17,5
"Derrick Henry","RB","TEN",6,17.4,1.94,0.426,15,20.2,8.8,8.22,8.72,4,6,7,2,"1",32,NA,NA,81,6
"Mark Andrews","TE","BAL",10,15.2,1.76,3.47,12.7,16.8,8.59,7.59,9.32,5,9,5,2,"2",30,NA,NA,82,4
"Josh Allen","QB","BUF",7,26,2.01,1.04,24.9,29.5,8.39,8.98,10.4,6,5,2,1,"1",29,NA,NA,81,4
"Austin Ekeler","RB","LAC",8,17,0.651,0.143,16,17.8,8.37,9.19,6.34,7,4,17,3,"1",30,NA,NA,3,NA
"Christian McCaffrey","RB","CAR",13,16.9,1.35,0.251,14.7,18.2,8.23,7.89,6.77,8,8,15,4,"1",29,NA,NA,46,5
"Nick Chubb","RB","CLE",9,16.6,2.03,0.69,13.2,18.9,7.98,6.35,7.42,9,19,10,5,"2",30,NA,NA,85,4
"Jalen Hurts","QB","PHI",7,24.9,3.25,0.274,21.8,29.6,7.34,5.9,10.4,10,22,1,2,"1",27,NA,NA,99,2
"Leonard Fournette","RB","TB",11,15.9,1.04,0.141,14.8,17.4,7.29,7.93,5.97,11,7,18,6,"2",29,NA,NA,24,5
"Dalvin Cook","RB","MIN",7,15.8,1.03,0.162,14,16.9,7.15,7.19,5.42,12,14,23,7,"2",30,NA,NA,21,5
"Lamar Jackson","QB","BAL",10,24.6,2.07,0.207,23.2,28,7.07,7.27,8.86,14,11,6,3,"1",29,NA,NA,87,4
"Davante Adams","WR","LVR",6,17.3,1.4,0.0856,16,19.1,7.07,7.24,5.45,13,12,22,2,"1",33,NA,NA,31,8
"Justin Jefferson","WR","MIN",7,17.3,1.52,0.369,15.2,19,6.99,6.38,5.38,15,18,24,3,"1",26,NA,NA,34,2
"Aaron Jones","RB","GB",14,15.6,1.26,0.576,14,17.2,6.98,7.23,5.74,16,13,20,8,"3",31,NA,NA,41,5
"Patrick Mahomes","QB","KC",8,24.4,1.22,3.95,23,26.3,6.86,7.06,7.11,17,15,11,4,"2",30,NA,NA,45,5
"Stefon Diggs","WR","BUF",7,16.9,1.53,0.603,15.5,18.6,6.62,6.68,4.95,18,16,29,4,"1",32,NA,NA,36,7
"Joe Mixon","RB","CIN",10,15,1.02,0.127,14.1,16.6,6.41,7.3,5.16,19,10,25,9,"3",29,NA,NA,19,5
"Alvin Kamara","RB","NO",14,14.9,1.48,0.238,12.8,16.2,6.28,5.99,4.74,20,21,31,10,"3",30,NA,NA,54,5
"Josh Jacobs","RB","LVR",6,14.7,1.1,0.59,13.3,16.3,6.04,6.52,4.89,21,17,30,11,"4",28,NA,NA,29,3
"Tyreek Hill","WR","MIA",11,16.3,2.02,0.0682,14.5,19.3,6.02,5.72,5.62,22,23,21,5,"1",32,NA,NA,60,6
"Ja'Marr Chase","WR","CIN",10,16.2,2.22,0.282,14,18.8,5.95,5.16,5.13,23,27,26,6,"2",26,NA,NA,74,1
"Mike Evans","WR","TB",11,15.9,1.49,0.374,13.4,17.5,5.67,4.63,3.83,24,30,40,7,"2",32,NA,NA,33,8
"James Robinson","RB","JAC",11,14.1,1.22,0.213,12.4,15.5,5.45,5.62,4.03,25,25,38,12,"4",56,NA,NA,38,2
"A.J. Brown","WR","PHI",7,15.6,2.11,0.285,13.2,18.6,5.29,4.4,4.95,26,31,28,8,"2",28,NA,NA,67,3
"Jamaal Williams","RB","DET",6,13.9,1.16,0.157,12.5,15.2,5.24,5.68,3.77,27,24,41,13,"4",NA,NA,NA,35,5
"T.J. Hockenson","TE","DET",6,11.8,2.49,0.585,9.22,15.1,5.13,4.08,7.66,28,35,9,3,"3",28,NA,NA,94,3
