player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
David Bailey,2.5,0.3798,+163,0.6202,-163,3.7848
Arvell Reese,2.5,0.45,+122,0.55,-122,3.896
Carnell Tate,5.5,0.4384,+128,0.5616,-128,6.2466986794717885
Francis Mauigoa,5.5,0.5062,-103,0.4938,+103,7.617770662397438
Rueben Bain,7.5,0.5508,-123,0.44920000000000004,+123,8.224269122947536
Sonny Styles,7.5,0.5324,-114,0.4676,+114,9.214567337621913
Jeremiyah Love,5.5,0.5122,-105,0.4878,+105,10.36980218005652
Mansoor Delane,8.5,0.4096,+144,0.5904,-144,10.417591285051442
Caleb Downs,9.5,0.426,+135,0.5740000000000001,-135,10.589775051124745
Makai Lemon,10.5,0.4238,+136,0.5762,-136,11.09464105156724
Jermod McCoy,11.5,0.3924,+155,0.6075999999999999,-155,12.360163432073545
Jordyn Tyson,12.5,0.3948,+153,0.6052,-153,12.886099203919168
Monroe Freeling,13.5,0.58,-138,0.42000000000000004,+138,14.794148600294674
Spencer Fano,16.5,0.5004,-100,0.49960000000000004,+100,15.73404927353127
Olaivavega Ioane,14.5,0.5382,-117,0.4618,+117,16.0379167574635
Dillon Thieneman,18.5,0.6588,-193,0.34119999999999995,+193,17.31438679245283
Kenyon Sadiq,18.5,0.477,+110,0.523,-110,17.450113378684808
Keldric Faulk,16.5,0.546,-120,0.45399999999999996,+120,17.555343106012323
Akheem Mesidor,18.5,0.4296,+133,0.5704,-133,18.671894870707927
Kadyn Proctor,17.5,0.5188,-108,0.48119999999999996,+108,19.04277588168373
Drew Allar,21.5,0.0016,+62400,0.9984,-62400,19.11111111111111
Omar Cooper Jr.,19.5,0.4934,+103,0.5065999999999999,-103,19.12838581810174
Garrett Nussmeier,21.5,0.0024,+41567,0.9976,-41567,19.153846153846153
Emmanuel McNeil-Warren,21.5,0.4632,+116,0.5367999999999999,-116,20.6267087276551
Blake Miller,22.5,0.4348,+130,0.5651999999999999,-130,21.80601429627804
Caleb Lomu,23.5,0.5406,-118,0.45940000000000003,+118,22.253140995812007
Kevin Concepcion,23.5,0.4836,+107,0.5164,-107,22.823348694316437
Ty Simpson,31.5,0.1096,+812,0.8904,-812,23.18259385665529
Avieon Terrell,27.5,0.4972,+101,0.5028,-101,23.63751846381093
Peter Woods,24.5,0.3436,+191,0.6564,-191,23.730540293040292
Cole Payton,21.5,0.0002,+499900,0.9998,-499900,25.0
T.J. Parker,26.5,0.4942,+102,0.5058,-102,25.789952261877698
Denzel Boston,26.5,0.4834,+107,0.5166,-107,26.036686663590217
Kayden McDonald,27.5,0.4752,+110,0.5247999999999999,-110,26.089299661546473
Cashius Howell,29.5,0.5156,-106,0.48440000000000005,+106,28.313637384857337
Max Iheanachor,31.5,0.4274,+134,0.5726,-134,28.68494382022472
Caleb Banks,31.5,0.1872,+434,0.8128,-434,28.739979445015415
Emmanuel Pregnon,31.5,0.0814,+1129,0.9186,-1129,29.12375249500998
C.J. Allen,31.5,0.1196,+736,0.8804,-736,29.511756569847858
Chase Bisontis,31.5,0.0932,+973,0.9068,-973,29.930758988015977
Zion Young,31.5,0.4168,+140,0.5831999999999999,-140,29.953496383052016
Colton Hood,31.5,0.373,+168,0.627,-168,29.995642701525053
Jacob Rodriguez,31.5,0.0056,+17757,0.9944,-17757,30.029411764705884
Jadarian Price,31.5,0.0078,+12721,0.9922,-12721,30.253731343283583
Malachi Lawrence,31.5,0.0518,+1831,0.9482,-1831,30.559782608695652
Brandon Cisse,31.5,0.0334,+2894,0.9666,-2894,30.817283950617284
Christen Miller,31.5,0.0092,+10770,0.9908,-10770,30.867924528301888
Chris Johnson,31.5,0.0928,+978,0.9072,-978,30.984387838948233
Anthony Hill Jr.,31.5,0.0028,+35614,0.9972,-35614,31.066666666666666
R Mason Thomas,31.5,0.0204,+4802,0.9796,-4802,31.070967741935483
