position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5406,-118,0.45940000000000003,+118,6.3758
OT,5.5,0.2828,+254,0.7172000000000001,-254,5.8944
WR,5.5,0.3128,+220,0.6872,-220,5.6548
CB,3.5,0.4774,+109,0.5226,-109,3.5226
S,2.5,0.3824,+162,0.6175999999999999,-162,2.588871096877502
LB,2.5,0.8548,-589,0.1452,+589,2.1182
DT,1.5,0.2484,+303,0.7516,-303,1.8762949421084705
IOL,1.5,0.7146,-250,0.2854,+250,1.2467449306296692
QB,1.5,0.8784,-722,0.12160000000000004,+722,1.122
RB,1.5,0.9774,-4325,0.022599999999999953,+4325,1.0135244247073072
TE,1.5,0.7056,-240,0.2944,+240,1.0
