player,position,avg_pick
Fernando Mendoza,QB,1.0
David Bailey,EDGE,3.7848
Arvell Reese,LB,3.896
Carnell Tate,WR,6.2466986794717885
Francis Mauigoa,OT,7.617770662397438
Rueben Bain,EDGE,8.224269122947536
Sonny Styles,LB,9.214567337621913
Jeremiyah Love,RB,10.36980218005652
Mansoor Delane,CB,10.417591285051442
Caleb Downs,S,10.589775051124745
Makai Lemon,WR,11.09464105156724
Jermod McCoy,CB,12.360163432073545
Jordyn Tyson,WR,12.886099203919168
Monroe Freeling,OT,14.794148600294674
Spencer Fano,OT,15.73404927353127
Olaivavega Ioane,IOL,16.0379167574635
Dillon Thieneman,S,17.31438679245283
Kenyon Sadiq,TE,17.450113378684808
Keldric Faulk,EDGE,17.555343106012323
Akheem Mesidor,EDGE,18.671894870707927
Kadyn Proctor,OT,19.04277588168373
Drew Allar,QB,19.11111111111111
Omar Cooper Jr.,WR,19.12838581810174
Garrett Nussmeier,QB,19.153846153846153
Emmanuel McNeil-Warren,S,20.6267087276551
Blake Miller,OT,21.80601429627804
Caleb Lomu,OT,22.253140995812007
Kevin Concepcion,WR,22.823348694316437
Ty Simpson,QB,23.18259385665529
Avieon Terrell,CB,23.63751846381093
Peter Woods,DT,23.730540293040292
Cole Payton,QB,25.0
T.J. Parker,EDGE,25.789952261877698
Denzel Boston,WR,26.036686663590217
Kayden McDonald,DT,26.089299661546473
Cashius Howell,EDGE,28.313637384857337
Max Iheanachor,OT,28.68494382022472
Caleb Banks,DT,28.739979445015415
Emmanuel Pregnon,IOL,29.12375249500998
C.J. Allen,LB,29.511756569847858
Chase Bisontis,IOL,29.930758988015977
Zion Young,EDGE,29.953496383052016
Colton Hood,CB,29.995642701525053
Jacob Rodriguez,LB,30.029411764705884
Jadarian Price,RB,30.253731343283583
Malachi Lawrence,EDGE,30.559782608695652
Brandon Cisse,CB,30.817283950617284
Christen Miller,DT,30.867924528301888
Chris Johnson,CB,30.984387838948233
Anthony Hill Jr.,LB,31.066666666666666
R Mason Thomas,EDGE,31.070967741935483
Lee Hunter,DT,32.0
