pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,11,5,5,4
3,11,8,7,3
4,12,8,6,6
5,13,9,9,6
6,17,11,9,5
7,17,11,10,7
8,18,13,7,6
9,19,13,10,7
10,21,13,12,5
11,24,15,10,5
12,25,19,12,5
13,26,15,8,6
14,27,14,9,5
15,26,9,6,5
16,31,22,13,6
17,28,13,10,6
18,30,13,6,3
19,31,19,14,7
20,32,20,15,6
21,38,13,11,8
22,36,16,12,7
23,36,16,11,7
24,39,19,13,6
25,39,14,8,4
26,40,16,8,6
27,42,20,13,6
28,42,18,15,5
29,44,21,8,6
30,43,21,12,5
31,44,22,9,6
32,44,17,9,6
