team,position,count,probability
ARI,OT,1873,0.3746
ARI,LB,1482,0.2964
ARI,EDGE,1454,0.2908
ARI,RB,110,0.022
ARI,WR,38,0.0076
ARI,CB,31,0.0062
ARI,S,12,0.0024
BAL,WR,1989,0.3978
BAL,IOL,1549,0.3098
BAL,TE,562,0.1124
BAL,EDGE,312,0.0624
BAL,OT,255,0.051
BAL,RB,107,0.0214
BAL,S,95,0.019
BAL,CB,77,0.0154
BAL,LB,53,0.0106
BAL,QB,1,0.0002
BUF,EDGE,2002,0.4004
BUF,WR,1570,0.314
BUF,DT,647,0.1294
BUF,IOL,202,0.0404
BUF,S,169,0.0338
BUF,OT,153,0.0306
BUF,CB,118,0.0236
BUF,LB,82,0.0164
BUF,RB,28,0.0056
BUF,TE,18,0.0036
BUF,QB,11,0.0022
CAR,EDGE,1639,0.3278
CAR,WR,1209,0.2418
CAR,OT,858,0.1716
CAR,TE,498,0.0996
CAR,DT,341,0.0682
CAR,S,164,0.0328
CAR,CB,159,0.0318
CAR,RB,102,0.0204
CAR,LB,20,0.004
CAR,IOL,8,0.0016
CAR,QB,2,0.0004
CHI,DT,3122,0.6244
CHI,S,667,0.1334
CHI,CB,402,0.0804
CHI,OT,288,0.0576
CHI,WR,200,0.04
CHI,EDGE,175,0.035
CHI,RB,59,0.0118
CHI,LB,31,0.0062
CHI,TE,20,0.004
CHI,QB,19,0.0038
CHI,IOL,17,0.0034
CIN,S,2347,0.4694
CIN,LB,997,0.1994
CIN,OT,523,0.1046
CIN,IOL,319,0.0638
CIN,CB,302,0.0604
CIN,WR,277,0.0554
CIN,RB,102,0.0204
CIN,EDGE,90,0.018
CIN,TE,42,0.0084
CIN,QB,1,0.0002
CLE,OT,4128,0.8256
CLE,WR,3912,0.7824
CLE,EDGE,458,0.0916
CLE,CB,286,0.0572
CLE,LB,264,0.0528
CLE,IOL,252,0.0504
CLE,S,199,0.0398
CLE,DT,185,0.037
CLE,RB,142,0.0284
CLE,QB,136,0.0272
CLE,TE,38,0.0076
DAL,CB,3412,0.6824
DAL,EDGE,1914,0.3828
DAL,S,1269,0.2538
DAL,OT,1112,0.2224
DAL,LB,783,0.1566
DAL,DT,565,0.113
DAL,WR,538,0.1076
DAL,RB,205,0.041
DAL,TE,112,0.0224
DAL,IOL,88,0.0176
DAL,QB,2,0.0004
DET,OT,4011,0.8022
DET,EDGE,275,0.055
DET,DT,194,0.0388
DET,S,162,0.0324
DET,WR,105,0.021
DET,RB,74,0.0148
DET,TE,74,0.0148
DET,IOL,44,0.0088
DET,LB,34,0.0068
DET,CB,27,0.0054
HOU,OT,1968,0.3936
HOU,DT,1758,0.3516
HOU,IOL,279,0.0558
HOU,CB,272,0.0544
HOU,EDGE,266,0.0532
HOU,RB,159,0.0318
HOU,WR,141,0.0282
HOU,LB,66,0.0132
HOU,S,40,0.008
HOU,QB,33,0.0066
HOU,TE,18,0.0036
KC,EDGE,3056,0.6112
KC,CB,2783,0.5566
KC,OT,1865,0.373
KC,WR,1012,0.2024
KC,S,852,0.1704
KC,LB,150,0.03
KC,DT,115,0.023
KC,IOL,50,0.01
KC,RB,49,0.0098
KC,TE,40,0.008
KC,QB,28,0.0056
LAC,EDGE,1690,0.338
LAC,WR,1375,0.275
LAC,DT,752,0.1504
LAC,S,616,0.1232
LAC,OT,249,0.0498
LAC,IOL,161,0.0322
LAC,CB,74,0.0148
LAC,RB,40,0.008
LAC,TE,22,0.0044
LAC,LB,19,0.0038
LAC,QB,2,0.0004
LAR,WR,2409,0.4818
LAR,OT,1955,0.391
LAR,LB,193,0.0386
LAR,EDGE,106,0.0212
LAR,RB,82,0.0164
LAR,S,73,0.0146
LAR,TE,66,0.0132
LAR,IOL,61,0.0122
LAR,CB,54,0.0108
LAR,QB,1,0.0002
LV,QB,5000,1.0
MIA,CB,2901,0.5802
MIA,WR,2567,0.5134
MIA,EDGE,1716,0.3432
MIA,IOL,1168,0.2336
MIA,OT,431,0.0862
MIA,S,427,0.0854
MIA,TE,365,0.073
MIA,LB,185,0.037
MIA,DT,145,0.029
MIA,RB,70,0.014
MIA,QB,25,0.005
MIN,S,3471,0.6942
MIN,RB,389,0.0778
MIN,CB,320,0.064
MIN,OT,213,0.0426
MIN,DT,212,0.0424
MIN,EDGE,155,0.031
MIN,WR,122,0.0244
MIN,TE,82,0.0164
MIN,LB,20,0.004
MIN,IOL,16,0.0032
NE,EDGE,1983,0.3966
NE,OT,980,0.196
NE,DT,858,0.1716
NE,WR,423,0.0846
NE,LB,260,0.052
NE,CB,181,0.0362
NE,TE,179,0.0358
NE,QB,45,0.009
NE,IOL,44,0.0088
NE,S,26,0.0052
NE,RB,21,0.0042
NO,CB,2039,0.4078
NO,WR,1297,0.2594
NO,EDGE,1155,0.231
NO,OT,178,0.0356
NO,LB,143,0.0286
NO,S,88,0.0176
NO,RB,76,0.0152
NO,IOL,19,0.0038
NO,TE,5,0.001
NYG,WR,1348,0.2696
NYG,LB,1183,0.2366
NYG,OT,972,0.1944
NYG,S,727,0.1454
NYG,RB,657,0.1314
NYG,EDGE,68,0.0136
NYG,CB,45,0.009
NYJ,EDGE,3444,0.6888
NYJ,LB,2737,0.5474
NYJ,WR,1876,0.3752
NYJ,IOL,495,0.099
NYJ,OT,426,0.0852
NYJ,CB,338,0.0676
NYJ,S,229,0.0458
NYJ,RB,162,0.0324
NYJ,QB,155,0.031
NYJ,TE,134,0.0268
NYJ,DT,4,0.0008
PHI,OT,2286,0.4572
PHI,WR,1438,0.2876
PHI,EDGE,691,0.1382
PHI,S,348,0.0696
