position,avg_taken_round1,min,max
EDGE,6.3758,3,9
OT,5.8944,3,7
WR,5.6548,2,6
CB,3.5226,1,6
S,2.588871096877502,1,3
LB,2.1182,1,4
DT,1.8762949421084705,1,4
IOL,1.2467449306296692,1,3
QB,1.122,1,3
RB,1.0135244247073072,1,2
TE,1.0,1,1
