player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ladd McConkey,124030,WR,LAC,1,14.3,1,64.3,66.7,2,3,0,0.0,0,8,27,0,77.3,70.6,91.6,,91.0,0.0,0,1,86,0.0,0,38,0,9,97.4,37,57.9,22,101.8,14,1,42.1,16,197,79,8.8,21.9,5.32
Terry McLaurin,48229,WR,WAS,1,12.5,1,70.0,33.3,1,3,0,0.0,0,4,32,0,76.5,70.1,88.9,,88.1,0.0,0,0,35,0.0,0,36,0,7,88.9,32,11.1,4,130.8,10,1,88.9,32,89,12,1.7,12.7,2.78
Courtland Sutton,48164,WR,DEN,1,16.9,0,55.6,,0,0,0,16.7,1,4,10,0,45.8,68.0,77.1,,75.9,0.0,0,0,21,0.0,0,29,0,5,96.6,28,24.1,7,83.1,9,0,75.9,22,75,13,2.6,15.0,2.68
Puka Nacua,100632,WR,LA,1,3.9,2,55.6,0.0,0,1,0,16.7,1,3,26,0,45.8,69.1,70.8,,68.8,6.9,2,0,27,0.0,0,29,0,5,96.6,28,31.0,9,68.8,9,0,62.1,18,44,30,6.0,8.8,1.57
Justin Jefferson,61398,WR,MIN,1,18.0,0,62.5,,0,0,0,0.0,0,2,18,0,74.6,68.8,65.2,,64.4,0.0,0,0,22,0.0,0,47,0,5,93.6,44,25.5,12,84.4,8,0,72.3,34,58,14,2.8,11.6,1.32
John Metchie III,97400,WR,HST,1,9.1,0,50.0,0.0,0,1,0,0.0,0,1,13,1,72.1,15.0,46.3,65.7,46.9,0.0,0,1,10,3.4,1,29,0,4,86.2,25,58.6,17,18.8,8,0,41.4,12,28,6,1.5,7.0,1.12
Jordan Addison,123000,WR,MIN,1,19.1,0,37.5,40.0,2,5,0,25.0,1,2,18,0,36.8,65.8,63.5,,61.8,0.0,0,1,15,0.0,0,51,0,3,94.1,48,11.8,6,8.9,8,0,88.2,45,29,0,0.0,9.7,0.6
Nico Collins,61441,WR,HST,1,14.0,4,87.5,100.0,1,1,0,0.0,0,6,13,0,75.6,69.5,88.4,,85.3,0.0,0,0,41,0.0,0,38,0,7,92.1,35,26.3,10,158.3,8,1,73.7,28,122,60,8.6,17.4,3.49
Mike Evans,8642,WR,TB,1,9.4,1,100.0,,0,0,0,0.0,0,7,30,0,75.6,69.5,91.8,,91.3,0.0,0,0,23,0.0,0,22,0,7,86.4,19,31.8,7,158.3,7,1,68.2,15,92,31,4.4,13.1,4.84
Khalil Shakir,84140,WR,BUF,1,1.8,4,100.0,100.0,1,1,0,0.0,0,3,4,0,74.6,72.7,76.8,,76.3,0.0,0,0,15,0.0,0,25,0,6,92.0,23,60.0,15,109.0,6,0,40.0,10,61,50,8.3,10.2,2.65
Aaron Jones,11937,HB,MIN,1,-4.0,0,50.0,,0,0,0,25.0,1,0,18,0,41.6,75.6,61.9,81.9,42.5,2.7,1,0,8,10.8,4,37,0,3,83.8,31,0.0,0,56.3,6,0,5.4,2,12,17,5.7,4.0,0.39
Dontayvion Wicks,99711,WR,GB,1,20.8,0,33.3,50.0,1,2,0,33.3,1,2,12,0,29.9,64.0,61.0,,60.9,0.0,0,1,29,0.0,0,33,0,2,84.8,28,39.4,13,17.4,6,0,60.6,20,39,3,1.5,19.5,1.39
Dallas Goedert,47272,TE,PHI,1,4.0,1,66.7,0.0,0,1,0,0.0,0,2,24,0,72.1,67.0,83.2,74.9,75.0,27.3,6,0,24,9.1,2,22,1,4,81.8,18,54.5,12,129.9,6,1,13.6,3,47,40,10.0,11.8,2.61
George Pickens,99229,WR,PIT,1,12.8,2,100.0,,0,0,0,0.0,0,4,25,0,74.6,68.8,80.8,,78.6,0.0,0,0,36,0.0,0,32,1,5,96.9,31,12.5,4,158.3,5,1,87.5,28,87,23,4.6,17.4,2.81
Quentin Johnston,123085,WR,LAC,1,17.6,0,0.0,0.0,0,3,0,100.0,1,0,27,0,25.5,,37.5,,38.8,0.0,0,1,0,0.0,0,35,0,0,97.1,34,20.0,7,0.0,5,0,80.0,28,0,0,,,0.0
Tyler Higbee,10744,TE,LA,1,6.4,2,100.0,100.0,1,1,0,0.0,0,2,26,0,73.4,68.0,92.7,70.2,92.1,63.6,7,0,23,9.1,1,11,0,5,90.9,10,0.0,0,115.0,5,0,36.4,4,58,26,5.2,11.6,5.8
Tucker Kraft,104034,TE,GB,1,1.0,0,100.0,,0,0,0,0.0,0,1,12,0,73.4,70.0,62.9,66.2,61.7,42.5,17,0,12,2.5,1,40,0,5,85.0,34,35.0,14,88.3,5,0,20.0,8,26,21,4.2,5.2,0.76
