player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Sam Darnold,29048,QB,MIN,1,67.5,40,40,10.5,3.15,0,1,2.3,62.5,25,0,27,7.4,50,2,-0.53,12,18,35.8,54.9,48.5,86.8,0,1,53,0,36.0,33.3,77.6,18.0,9,1,0,0,1,3,5.7,245,6.1
Jayden Daniels,97993,QB,WAS,1,75.0,32,35,6.7,2.93,0,1,2.6,68.6,24,0,15,0.0,40,0,0.37,14,32,81.4,76.9,69.7,79.0,0,0,44,0,57.5,6.7,110.2,2.5,1,3,0,3,2,1,2.3,268,7.7
Jordan Love,40306,QB,GB,1,71.0,31,33,9.2,2.69,1,1,2.6,60.6,20,0,15,9.1,36,2,-0.08,12,12,79.4,54.7,52.1,68.2,1,3,41,0,47.2,13.3,41.5,5.6,2,1,0,0,0,4,9.8,212,6.4
C.J. Stroud,129759,QB,HST,1,68.8,32,33,9.7,2.79,0,1,2.9,66.7,22,0,16,0.0,39,0,-0.03,13,13,29.7,58.6,54.7,69.5,0,1,42,0,48.7,18.8,90.7,7.7,3,3,0,1,1,4,9.5,282,8.5
Justin Herbert,28237,QB,LAC,1,56.7,30,32,12.6,2.8,0,0,0.0,43.8,14,0,19,17.6,37,3,-0.68,9,27,78.9,60.3,59.8,,2,4,39,0,35.1,21.1,40.9,10.8,4,0,0,0,1,3,7.7,242,7.6
Russell Wilson,7077,QB,PIT,1,91.7,24,29,8.8,2.85,1,4,13.3,69.0,20,0,13,9.1,35,2,0.14,9,25,78.7,81.4,83.8,51.4,0,0,36,0,45.7,30.8,121.3,11.4,4,2,0,4,2,0,0.0,270,9.3
Matthew Stafford,4924,QB,LA,1,76.9,26,27,8.0,2.43,0,2,7.1,70.4,19,0,11,5.0,29,1,0.15,10,26,77.9,78.2,76.9,60.0,0,0,30,0,44.8,18.2,117.7,6.9,2,0,0,1,2,0,0.0,209,7.7
Josh Allen,46601,QB,BUF,1,80.0,25,26,9.9,3.13,0,2,7.1,76.9,20,0,12,0.0,32,0,0.5,12,4,79.0,90.0,85.5,76.1,0,0,34,0,62.5,16.7,135.4,6.3,2,4,0,1,2,0,0.0,272,10.5
Bo Nix,97790,QB,DEN,1,77.3,22,22,11.7,3.19,0,2,8.7,59.1,13,0,13,23.5,28,4,-0.38,9,10,77.4,85.2,75.0,88.6,0,0,29,0,39.3,15.4,93.8,7.1,2,3,0,0,1,0,0.0,144,6.5
Jalen Hurts,40291,QB,PHI,1,76.5,17,21,7.1,3.43,1,0,0.0,61.9,13,0,10,0.0,24,0,-0.05,6,24,78.2,66.0,56.4,75.7,0,0,26,0,45.8,20.0,111.4,8.3,2,1,0,3,2,0,0.0,131,6.2
Lamar Jackson,46416,QB,BLT,1,84.2,19,21,6.5,3.34,0,2,9.1,76.2,16,0,14,0.0,26,0,0.46,11,3,79.5,92.9,92.6,77.6,0,0,27,0,46.2,7.1,132.0,3.8,1,4,1,1,2,0,0.0,175,8.3
Baker Mayfield,46518,QB,TB,1,94.1,17,18,8.4,3.08,0,0,0.0,83.3,15,0,9,6.3,23,1,0.54,13,30,26.3,68.3,80.8,35.7,1,0,26,0,65.2,11.1,146.5,4.3,1,4,0,0,2,0,0.0,185,10.3
Justin Fields,82118,QB,PIT,1,,0,1,,3.0,0,0,0.0,0.0,0,0,1,,1,0,-0.71,0,25,60.4,59.1,60.0,,1,0,1,0,0.0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Riley Dixon,10862,P,DEN,1,100.0,1,1,14.0,2.6,0,0,0.0,100.0,1,0,0,0.0,1,0,4.62,1,10,60.4,73.1,68.8,,0,0,1,0,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0
