"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Fred Warner","LB","SF",6,7.3,2.71,1.29,5.45,9.18,5.42,0,0,1,21,22,1,"1",29,NA,NA,86,3
"Germaine Pratt","LB","CIN",10,6.01,1.19,0.764,5.2,6.84,4.13,-0.248,-2.34,2,23,43,2,"1",29,NA,NA,71,2
"Travin Howard","LB","LAR",11,5.25,NA,0.278,NA,NA,3.37,NA,NA,3,NA,NA,3,"2",NA,NA,NA,NA,3
"Von Miller","LB","LAR",11,4.97,0.53,0.315,4.61,5.34,3.09,-0.84,-3.84,4,29,48,4,"2",37,NA,NA,14,10
"Dre Greenlaw","LB","SF",6,4.66,3.27,0.205,2.42,6.93,2.78,-3.03,-2.25,5,46,41,5,"2",28,NA,NA,99,2
"Leonard Floyd","LB","LAR",11,4.45,0.53,0.0969,4.09,4.82,2.57,-1.36,-4.36,6,33,51,6,"3",33,NA,NA,14,5
"Anthony Hitchens","LB","KC",12,4.36,0.877,1.7,3.76,4.96,2.48,-1.69,-4.21,7,36,50,7,"4",33,NA,NA,57,7
"Jessie Bates","DB","CIN",10,6.33,1.05,0.124,5.62,7.06,2.03,3.22,3.27,8,1,2,1,"1",29,NA,NA,53,3
"Jaquiski Tartt","DB","SF",6,6.21,NA,0.0228,NA,NA,1.91,NA,NA,9,NA,NA,2,"1",34,NA,NA,NA,6
"Vonn Bell","DB","CIN",10,6.19,1.44,0.647,5.21,7.18,1.89,2.81,3.39,10,2,1,3,"1",31,NA,NA,87,5
"Aaron Donald","DL","LAR",11,4.51,1.01,0.187,3.82,5.21,1.83,1.62,2.24,11,6,5,1,"1",34,NA,NA,76,7
"Nick Bosa","DL","SF",6,4.32,0.516,0.434,3.97,4.68,1.65,1.77,1.71,12,5,9,2,"1",28,NA,NA,41,2
"Taylor Rapp","DB","LAR",11,5.54,NA,0.0645,NA,NA,1.24,NA,NA,13,NA,NA,4,"1",28,NA,NA,NA,2
"Sam Hubbard","DL","CIN",10,3.89,1.27,0.133,3.02,4.77,1.21,0.826,1.8,14,13,8,3,"1",NA,NA,NA,88,3
"Chidobe Awuzie","DB","CIN",10,5.48,0.82,0.688,4.92,6.04,1.18,2.52,2.25,15,3,4,5,"2",30,NA,NA,47,4
"Arik Armstead","DL","SF",6,3.76,0.905,0.133,3.14,4.38,1.08,0.939,1.42,16,11,10,4,"2",32,NA,NA,71,6
"B.J. Hill","DL","CIN",10,3.62,2.45,0.199,1.95,5.32,0.947,-0.252,2.36,17,24,3,5,"2",31,NA,NA,99,3
"Rams","DST","LAR",11,5.55,0.785,0.633,5.01,6.09,0.888,0.494,1.29,18,14,12,1,"1",NA,NA,NA,99,NA
"Samson Ebukam","LB","SF",6,2.66,0.707,0.316,2.17,3.15,0.776,-3.28,-6.03,19,48,55,8,"4",31,NA,NA,43,4
"AShawn Robinson","DL","LAR",11,3.42,1.32,0.444,2.52,4.33,0.748,0.327,1.37,20,17,11,6,"3",31,NA,NA,94,5
"Tyrann Mathieu","DB","KC",12,4.79,1.29,0.0254,3.9,5.68,0.488,1.51,1.89,21,7,7,6,"2",34,NA,NA,67,8
"Jimmie Ward","DB","SF",6,4.76,1.37,0.0228,3.83,5.71,0.463,1.43,1.92,22,8,6,7,"2",34,NA,NA,80,7
"Melvin Ingram","LB","KC",12,2.34,NA,0.46,NA,NA,0.46,NA,NA,23,NA,NA,9,"5",37,NA,NA,NA,9
"Jalen Ramsey","DB","LAR",11,4.74,0.0566,0.25,4.7,4.78,0.44,2.31,0.985,24,4,13,8,"2",31,NA,NA,13,5
"D.J. Reader","DL","CIN",10,2.98,1.11,0.146,2.22,3.75,0.304,0.0233,0.783,25,19,15,7,"3",31,NA,NA,82,5
"Chiefs","DST","KC",12,4.92,0.594,0.256,4.51,5.33,0.256,0,0.532,26,21,17,2,"2",NA,NA,NA,67,NA
"Charvarius Ward","DB","KC",12,4.49,NA,0.19,NA,NA,0.19,NA,NA,27,NA,NA,9,"3",29,NA,NA,NA,3
"Trey Hendrickson","DL","CIN",10,2.83,0.318,0.102,2.62,3.05,0.158,0.419,0.0884,28,16,20,8,"3",31,NA,NA,24,4
"Chris Jones","DL","KC",12,2.73,0.615,0.0566,2.31,3.16,0.0566,0.114,0.193,29,18,19,9,"3",31,NA,NA,53,5
"Patrick Mahomes","QB","KC",12,25.4,2.12,5.01,23.8,27.6,0,0,0,30,21,22,1,"1",30,NA,NA,99,4
"Joe Mixon","RB","CIN",10,15.9,1.02,1.58,14.9,16.8,0,0,0,30,21,22,1,"1",29,NA,NA,36,4
"Cooper Kupp","WR","LAR",11,19.4,1.12,1.89,18.2,20.3,0,0,0,30,21,22,1,"1",32,NA,NA,36,4
"Travis Kelce","TE","KC",12,15.8,1.11,4.14,14.9,17,0,0,0,30,21,22,1,"1",36,NA,NA,67,8
"Matt Gay","K","LAR",11,9.46,0.463,0.73,9.14,9.93,0,0,0,30,21,22,1,"1",32,NA,NA,1,2
