"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","CAR",13,19.1,1.78,0.538,17.3,21,10.8,11.3,10.3,1,2,1,1,"1",29,NA,NA,61,4
"Jonathan Taylor","RB","IND",14,18.6,0.865,1.01,17.7,19.7,10.3,11.7,9.09,2,1,4,2,"1",27,NA,NA,10,1
"Austin Ekeler","RB","LAC",7,17.5,0.877,1.13,16.4,18.6,9.28,10.4,7.92,3,3,9,3,"2",30,NA,NA,13,NA
"Cooper Kupp","WR","LAR",11,18.3,1.71,0.945,16.4,20.2,8.96,8.68,9.53,4,6,2,1,"1",32,NA,NA,60,4
"Najee Harris","RB","PIT",7,16.4,1.37,0.0466,14.9,18.6,8.15,8.92,8,5,5,8,4,"2",28,NA,NA,38,0
"Dalvin Cook","RB","MIN",7,16.4,1.17,0.0115,15,17.9,8.1,9.07,7.21,6,4,12,5,"2",30,NA,NA,25,4
"D'Andre Swift","RB","DET",9,16.4,1.88,0.277,13.9,18.7,8.09,7.95,8.1,7,9,7,6,"2",27,NA,NA,67,1
"Deebo Samuel","WR","SF",6,17.4,1.53,0.191,15.2,19.5,8.02,7.51,8.83,8,11,5,2,"1",30,NA,NA,50,2
"Davante Adams","WR","GB",13,17.2,2.25,0.796,14.3,20,7.83,6.55,9.33,9,15,3,3,"1",33,NA,NA,77,7
"Ezekiel Elliott","RB","DAL",7,16.1,1.71,0.617,14.2,18.8,7.81,8.23,8.17,10,8,6,7,"3",30,NA,NA,57,5
"David Montgomery","RB","CHI",10,15.5,1.83,0.184,13.8,18.2,7.2,7.84,7.56,11,10,11,8,"3",28,NA,NA,62,2
"Justin Jefferson","WR","MIN",7,16.4,1.62,0.436,14.3,18.3,7.03,6.64,7.59,12,14,10,4,"2",26,NA,NA,54,1
"Joe Mixon","RB","CIN",10,15.3,0.944,0.868,14.2,16.7,7.01,8.24,6.02,13,7,26,9,"4",29,NA,NA,16,4
"Stefon Diggs","WR","BUF",7,15.9,1.51,0.478,14.4,17.7,6.6,6.72,7.03,14,13,14,5,"2",32,NA,NA,49,6
"Lamar Jackson","QB","BAL",8,24.1,1.22,1.46,22.4,25.8,6.38,5.98,6.7,15,19,17,1,"1",29,NA,NA,46,3
"Nick Chubb","RB","CLE",13,14.4,1.55,0.208,12.7,16.7,6.14,6.78,6.1,16,12,24,10,"4",30,NA,NA,48,3
"Chris Godwin","WR","TB",9,15.5,1.75,0.587,13.9,17.7,6.12,6.21,6.99,17,17,16,6,"3",30,NA,NA,63,4
"Saquon Barkley","RB","NYG",10,14.2,2.2,0.0262,11.9,17,5.93,5.98,6.4,18,18,21,11,"4",29,NA,NA,77,3
"James Robinson","RB","JAC",7,14.2,1.59,0.917,12.4,16.8,5.91,6.47,6.16,19,16,23,12,"4",56,NA,NA,51,1
"Darren Waller","TE","LVR",8,13.5,1.82,1.23,11.6,16.2,5.86,5.07,6.41,20,24,20,1,"1",33,NA,NA,70,6
"Mike Evans","WR","TB",9,14.9,1.66,0.133,13.5,17.2,5.53,5.84,6.53,21,20,19,7,"3",32,NA,NA,59,7
"Diontae Johnson","WR","PIT",7,14.7,2.25,0.0638,12,17.2,5.4,4.31,6.53,22,30,18,8,"3",29,NA,NA,79,2
"Ja'Marr Chase","WR","CIN",10,14.7,1.63,0.153,12.6,16.7,5.33,4.86,6.01,23,25,27,9,"3",26,NA,NA,56,0
"Keenan Allen","WR","LAC",7,14.5,2.12,0.166,13,17.8,5.18,5.27,7.05,24,23,13,10,"3",34,NA,NA,73,8
"DK Metcalf","WR","SEA",9,14.3,1.86,0.689,12.4,16.8,5.02,4.7,6.07,25,27,25,11,"4",28,NA,NA,64,2
"Darrell Henderson","RB","LAR",11,13.3,1.73,0.657,11.7,16.2,4.99,5.78,5.6,26,21,31,13,"5",56,NA,NA,58,2
"Josh Allen","QB","BUF",7,22.7,1.39,0.819,21.2,24.5,4.92,4.77,5.36,27,26,36,2,"1",29,NA,NA,66,3
"Mark Andrews","TE","BAL",8,12.2,2.15,0.148,9.12,14.4,4.63,2.55,4.67,28,55,45,2,"1",30,NA,NA,79,3
"George Kittle","TE","SF",6,12.1,1.62,0.166,10.3,14.7,4.48,3.76,4.9,29,36,39,3,"1",32,NA,NA,67,4
"Melvin Gordon","RB","DEN",11,12.6,2.37,0.0089,10.1,16.4,4.33,4.17,5.71,30,32,29,14,"5",33,NA,NA,83,6
"Leonard Fournette","RB","TB",9,12.6,1.42,0.136,10.4,14.2,4.33,4.5,3.54,32,28,60,15,"5",29,NA,NA,42,4
"Terry McLaurin","WR","WAS",9,13.7,2.35,0.338,11,16.3,4.33,3.34,5.56,31,43,32,12,"4",30,NA,NA,83,2
"Kyle Pitts","TE","ATL",6,11.9,1.83,1.45,9.44,14.5,4.31,2.87,4.78,33,52,42,4,"2",25,NA,NA,73,0
"Antonio Gibson","RB","WAS",9,12.5,1.18,0.215,11.2,14.4,4.19,5.28,3.71,34,22,57,16,"5",27,NA,NA,26,1
"Tom Brady","QB","TB",9,21.9,1.38,0.0995,20.4,23.9,4.1,4.03,4.8,35,34,41,3,"1",48,NA,NA,63,21
"Justin Herbert","QB","LAC",7,21.8,0.796,0.096,20.8,22.5,4,4.34,3.39,36,29,61,4,"1",28,NA,NA,9,1
"Darnell Mooney","WR","CHI",10,13.3,2.33,0.16,10.8,16.1,3.99,3.08,5.39,37,47,35,13,"4",28,NA,NA,81,1
"AJ Dillon","RB","GB",13,12.2,3.35,0.119,7.87,16.1,3.97,1.92,5.47,38,64,34,17,"5",28,NA,NA,97,1
"Jalen Hurts","QB","PHI",14,21.7,0.899,1.07,20.7,23.2,3.9,4.28,4.02,39,31,51,5,"2",27,NA,NA,17,1
"Cordarrelle Patterson","RB","ATL",6,12.1,3.2,0.0316,9.46,15.6,3.86,3.5,4.92,40,39,38,18,"5",35,NA,NA,96,8
"Adam Thielen","WR","MIN",7,13.2,1.93,0.255,11.4,15.5,3.83,3.65,4.74,41,37,44,14,"4",35,NA,NA,67,7
"Miles Sanders","RB","PHI",14,12.1,2.88,0.394,9.35,15.9,3.82,3.4,5.29,42,42,37,19,"6",29,NA,NA,91,2
"Brandin Cooks","WR","HOU",10,12.9,3.11,0.195,11,17.7,3.57,3.25,7,43,46,15,15,"5",32,NA,NA,93,7
"Elijah Mitchell","RB","SF",6,11.7,1.84,0.274,10.1,14.4,3.43,4.11,3.8,44,33,55,20,"6",28,NA,NA,64,0
