"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Tua Tagovailoa","QB","MIA",14,15.9,2.09,0.658,13.7,18.3,-1.51,-1.89,-0.576,291,296,171,17,"7",28,NA,NA,91,1
"Rashaan Evans","LB","TEN",13,4.67,0.622,0.1,4.24,5.1,-1.51,-0.842,-2.46,292,194,320,37,"2",29,NA,NA,21,3
"Jarran Reed","DL","KC",12,2.51,NA,0.01,NA,NA,-1.52,NA,NA,294,NA,NA,44,"5",33,NA,NA,NA,5
"D.J. Reed","DB","SEA",9,4.25,1.33,0.00276,3.34,5.17,-1.52,-1.88,-1.05,293,293,212,51,"5",29,NA,NA,90,3
"Rasul Douglas","DB","GB",13,4.25,0,0.00193,4.25,4.25,-1.52,-0.97,-1.97,295,211,282,52,"5",31,NA,NA,1,4
"Sidney Jones","DB","SEA",9,4.25,0.354,0.157,4.01,4.49,-1.52,-1.21,-1.73,296,226,262,53,"6",NA,NA,NA,41,4
"B.J. Hill","DL","CIN",10,2.5,NA,0.03,NA,NA,-1.53,NA,NA,297,NA,NA,45,"5",31,NA,NA,NA,3
"Armon Watts","DL","MIN",7,2.47,NA,0.07,NA,NA,-1.56,NA,NA,298,NA,NA,46,"5",56,NA,NA,NA,2
"Myles Gaskin","RB","MIA",14,7.4,1.16,0.0228,5.66,8.52,-1.59,-1.07,-2.46,299,218,318,41,"7",29,NA,NA,28,2
"Commanders","DST","WAS",9,4.52,0.489,0.0945,3.93,4.99,-1.61,-1.46,-1.5,300,246,240,24,"15",NA,NA,NA,42,NA
"Devin Bush","LB","PIT",7,4.57,0.622,0.0763,4.14,5,-1.61,-0.942,-2.56,301,206,325,38,"2",27,NA,NA,23,2
"Brandon Bolden","RB","NE",14,7.38,1.22,0.482,5.61,8.8,-1.62,-1.11,-2.18,302,222,298,42,"8",36,NA,NA,32,9
"Shelby Harris","DL","DEN",11,2.4,NA,0.07,NA,NA,-1.63,NA,NA,303,NA,NA,47,"5",34,NA,NA,NA,7
"Rasheem Green","DL","SEA",9,2.4,NA,0,NA,NA,-1.63,NA,NA,303,NA,NA,47,"5",28,NA,NA,NA,3
"Janoris Jenkins","DB","TEN",13,4.09,1.57,0.00729,3.02,5.18,-1.68,-2.2,-1.04,304,326,211,54,"6",37,NA,NA,96,9
"Roquan Smith","LB","CHI",10,4.49,2.27,0.00756,3.13,6.24,-1.69,-1.96,-1.32,306,302,225,39,"2",29,NA,NA,86,3
"Johnathan Ford","DB","JAC",7,4.08,0.764,0.0362,3.55,4.61,-1.69,-1.66,-1.61,305,262,249,55,"6",31,NA,NA,80,4
"Jason Myers","K","SEA",9,7.28,0.71,0.0993,6.63,8.32,-1.7,-0.691,-1.9,310,179,278,20,"3",35,NA,NA,8,NA
"Lions","DST","DET",9,4.43,0.634,0.00769,3.85,5.08,-1.7,-1.54,-1.41,309,249,233,25,"15",NA,NA,NA,58,NA
"Austin Johnson","DL","NYG",10,2.33,NA,0.03,NA,NA,-1.7,NA,NA,308,NA,NA,48,"5",32,NA,NA,NA,5
"Jordan Jenkins","DL","HOU",10,2.33,NA,0,NA,NA,-1.7,NA,NA,308,NA,NA,48,"5",31,NA,NA,NA,5
"Greg Gaines","DL","LAR",11,2.33,NA,0,NA,NA,-1.7,NA,NA,308,NA,NA,48,"5",30,NA,NA,NA,2
"Shaquil Barrett","LB","TB",9,4.48,0.417,0.0133,4.2,4.77,-1.7,-0.886,-2.79,307,199,344,40,"2",33,NA,NA,14,7
"Cardinals","DST","ARI",12,4.42,0.869,0.0513,3.17,5.52,-1.71,-2.21,-0.972,312,328,205,26,"16",NA,NA,NA,84,NA
"Kwon Alexander","LB","NO",6,4.47,0.099,0.0582,4.4,4.54,-1.71,-0.682,-3.02,311,177,356,41,"2",31,NA,NA,2,6
"Darius Slay","DB","PHI",14,4.05,0.43,0.00711,3.62,4.48,-1.72,-1.6,-1.74,313,256,263,56,"6",35,NA,NA,49,8
"Sheldon Richardson","DL","MIN",7,2.3,NA,0.01,NA,NA,-1.73,NA,NA,314,NA,NA,49,"5",35,NA,NA,NA,8
"Anthony Averett","DB","BAL",8,4.04,0.771,0.0724,3.51,4.57,-1.73,-1.71,-1.64,315,269,253,57,"6",31,NA,NA,82,3
"Josh Sweat","DL","PHI",14,2.29,NA,0.09,NA,NA,-1.74,NA,NA,316,NA,NA,50,"5",29,NA,NA,NA,3
