"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Joe Burrow","QB","CIN",10,38.1,NA,10.6,NA,NA,21.1,NA,NA,1,NA,NA,1,"1",29,NA,NA,NA,1
"Tee Higgins","WR","CIN",10,23.8,19.9,4.57,9.75,37.1,14.3,2.45,25.1,2,49,1,1,"1",27,NA,NA,99,1
"Chase Edmonds","RB","ARI",12,22.7,NA,0.822,NA,NA,12.9,NA,NA,3,NA,NA,1,"1",30,NA,NA,NA,3
"Joe Mixon","RB","CIN",10,21.9,9.41,1.92,15.3,28.2,12.1,8.87,16,4,4,6,2,"2",29,NA,NA,97,4
"Josh Allen","QB","BUF",7,27.5,4.58,5.22,24.8,33.8,10.5,10.6,15.2,5,2,8,2,"2",29,NA,NA,83,3
"Jonathan Taylor","RB","IND",14,20,1.86,3.21,18,22.3,10.2,11.5,10.1,6,1,14,3,"3",27,NA,NA,39,1
"Cooper Kupp","WR","LAR",11,19.3,1.72,0.176,17,20.8,9.77,9.68,8.85,7,3,19,2,"1",32,NA,NA,38,4
"Deebo Samuel","WR","SF",6,19.1,7.62,2.14,13.9,29.5,9.59,6.65,17.5,8,13,3,3,"2",30,NA,NA,92,2
"Davante Adams","WR","GB",13,16.9,9.46,0.383,6.05,27.9,7.46,-1.25,15.9,9,220,7,4,"2",33,NA,NA,97,7
"Mark Andrews","TE","BAL",8,14.4,5.57,1.07,10.4,22,7.14,5.1,12.2,10,22,12,1,"1",30,NA,NA,99,3
"A.J. Brown","WR","TEN",13,16.6,6.49,0.0181,12.7,25.5,7.07,5.42,13.5,11,20,10,5,"2",28,NA,NA,89,2
"Justin Jefferson","WR","MIN",7,16.5,2.83,0.824,14.5,20.3,7.05,7.22,8.28,12,10,20,6,"3",26,NA,NA,68,1
"Nick Chubb","RB","CLE",13,16.7,7.63,0.0818,12.5,27.3,6.99,6.09,15,13,16,9,4,"3",30,NA,NA,94,3
"David Montgomery","RB","CHI",10,16.7,3.42,0.103,14,21.3,6.91,7.59,9.07,14,8,17,5,"3",28,NA,NA,70,2
"Damien Harris","RB","NE",14,16.6,9.18,0.358,10.2,28.9,6.81,3.81,16.7,15,33,5,6,"4",56,NA,NA,95,2
"Dalvin Cook","RB","MIN",7,16.2,1.76,0.0382,14.3,17.4,6.45,7.88,5.21,16,5,34,7,"4",30,NA,NA,33,4
