"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Derrick Henry","RB","TEN",13,20.3,1.88,1.54,17.7,22.1,11.7,11.1,11.1,1,1,1,1,"1",32,NA,NA,66,5
"Travis Kelce","TE","KC",12,17.5,0.706,2.83,16.6,18.3,10.4,10.9,10,2,2,2,1,"1",36,NA,NA,26,8
"Alvin Kamara","RB","NO",6,18.7,1.46,1.16,16.7,20.3,10.1,10.1,9.29,3,3,3,2,"2",30,NA,NA,47,4
"Austin Ekeler","RB","LAC",7,17.5,1.93,0.182,15.3,20.3,8.95,8.7,9.28,4,6,4,3,"2",30,NA,NA,68,NA
"Dalvin Cook","RB","MIN",7,17.4,1.16,0.279,16,18.8,8.77,9.38,7.77,5,4,9,4,"2",30,NA,NA,29,4
"Joe Mixon","RB","CIN",10,17.1,0.737,0.628,15.9,17.9,8.49,9.27,6.83,6,5,16,5,"2",29,NA,NA,10,4
"Aaron Jones","RB","GB",13,16.5,0.835,1.09,15.1,17.4,7.86,8.51,6.32,7,7,23,6,"3",31,NA,NA,15,4
"Davante Adams","WR","GB",13,18.2,1.64,0.451,15.8,20,7.73,7.44,8.18,8,10,7,1,"1",33,NA,NA,49,7
"Darren Waller","TE","LVR",8,14.7,2.08,1.78,11.9,17.2,7.61,6.21,8.87,9,15,5,2,"2",33,NA,NA,85,6
"Tyreek Hill","WR","KC",12,17.7,1.34,0.829,16,19.5,7.28,7.62,7.71,10,8,10,2,"1",32,NA,NA,32,5
"Nick Chubb","RB","CLE",13,15.4,1.62,0.584,13.8,17.7,6.77,7.24,6.7,11,11,17,7,"4",30,NA,NA,54,3
"Patrick Mahomes","QB","KC",12,25.4,1.4,0.0273,23.2,26.9,6.48,5.71,6.54,12,18,20,1,"1",30,NA,NA,44,4
"Josh Allen","QB","BUF",7,25.4,1.57,1.76,23.2,27.2,6.45,5.69,6.93,14,19,14,2,"2",29,NA,NA,53,3
"Cooper Kupp","WR","LAR",11,16.9,1.32,0.931,15.4,18.9,6.45,7.03,7.09,13,12,13,3,"2",32,NA,NA,31,4
"D'Andre Swift","RB","DET",9,14.8,2.37,0.0451,12.2,18.4,6.19,5.58,7.36,15,22,11,8,"4",27,NA,NA,88,1
"David Montgomery","RB","CHI",10,14.7,0.616,0.221,14,15.5,6.14,7.45,4.46,16,9,52,9,"4",28,NA,NA,3,2
"Najee Harris","RB","PIT",7,14.5,1.53,0.163,12.6,16.8,5.92,6.04,5.81,17,16,28,10,"4",28,NA,NA,50,0
"George Kittle","TE","SF",6,12.9,2.49,1.13,9.55,15.6,5.82,3.87,7.3,18,38,12,3,"3",32,NA,NA,94,4
"Ezekiel Elliott","RB","DAL",7,14.4,1.45,0.24,12.5,16.3,5.76,5.89,5.27,19,17,37,11,"5",30,NA,NA,46,5
"Chris Carson","RB","SEA",9,14.1,0.706,0.173,13.4,15.1,5.52,6.81,4.04,21,13,56,12,"5",31,NA,NA,6,4
"Stefon Diggs","WR","BUF",7,16,1.39,0.474,14.8,18.1,5.52,6.5,6.29,20,14,24,4,"2",32,NA,NA,38,6
"Saquon Barkley","RB","NYG",10,13.9,2.2,0.138,11.5,17.2,5.35,4.88,6.11,22,28,25,13,"5",29,NA,NA,78,3
"Antonio Gibson","RB","WAS",9,13.8,1.67,0.101,11.9,16,5.21,5.3,4.94,23,26,48,14,"5",27,NA,NA,59,1
"James Robinson","RB","JAC",7,13.7,0.972,0.0336,12.2,14.7,5.11,5.59,3.62,24,21,58,15,"5",56,NA,NA,21,1
"Jonathan Taylor","RB","IND",14,13.7,2.18,0.133,12,17,5.08,5.39,5.96,25,25,26,16,"5",27,NA,NA,76,1
"DK Metcalf","WR","SEA",9,15.5,1.76,0.0307,13.9,17.7,5.05,5.57,5.91,26,23,27,5,"2",28,NA,NA,55,2
"Justin Jefferson","WR","MIN",7,15.5,1.78,0.234,13.1,17.6,5.02,4.74,5.76,27,30,30,6,"2",26,NA,NA,56,1
"Miles Sanders","RB","PHI",14,13.5,2.17,1.34,12.1,16.8,4.94,5.55,5.8,28,24,29,17,"6",29,NA,NA,75,2
