"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Davante Adams","WR","GB",13,20.1,4.26,0.0408,15.9,27.6,11.3,9.27,15.2,1,4,8,1,"1",33,NA,NA,85,7
"Cooper Kupp","WR","LAR",11,20,1.53,1.78,17.6,21.3,11.2,11,8.79,2,1,21,2,"2",32,NA,NA,25,4
"Jonathan Taylor","RB","IND",14,19.7,1.92,1.53,16.2,21.3,10.8,10.2,9.67,3,2,17,1,"1",27,NA,NA,36,1
"Tee Higgins","WR","CIN",10,18.3,9.31,0.874,12.4,35.5,9.43,5.79,23,4,24,1,3,"2",27,NA,NA,99,1
"Nick Chubb","RB","CLE",13,18.2,4.97,1.12,13.6,26.7,9.24,7.6,15.1,5,10,9,2,"1",30,NA,NA,87,3
"Deebo Samuel","WR","SF",6,17.4,6.49,1.11,11.3,28.9,8.56,4.67,16.4,6,32,5,4,"3",30,NA,NA,93,2
"Mark Andrews","TE","BAL",8,15.5,3.92,0.312,11.8,21.9,8.38,6.46,11.6,7,16,12,1,"1",30,NA,NA,97,3
"Josh Allen","QB","BUF",7,25.8,3.3,3.48,23.7,31.9,8.34,9.37,11.3,8,3,13,1,"1",29,NA,NA,63,3
"Joe Mixon","RB","CIN",10,17,5.5,0.0679,13.8,27.3,8.12,7.8,15.7,9,9,6,3,"1",29,NA,NA,94,4
"Travis Kelce","TE","KC",12,15.1,2.09,3.71,12,16.9,8.06,6.63,6.67,10,15,29,2,"2",36,NA,NA,50,8
"David Montgomery","RB","CHI",10,17,2.91,0.366,14.2,21,8.05,8.2,9.38,11,8,18,4,"1",28,NA,NA,72,2
"Dalvin Cook","RB","MIN",7,16.6,2.31,0.64,14.5,20.1,7.68,8.51,8.48,12,6,23,5,"2",30,NA,NA,51,4
"Antonio Brown","WR","TB",9,16.3,3.14,0.0197,13,20.2,7.45,6.38,7.72,13,17,25,5,"3",37,NA,NA,68,11
"A.J. Brown","WR","TEN",13,16.3,5.65,0.182,12.5,25.3,7.43,5.85,12.9,14,22,10,6,"3",28,NA,NA,91,2
"Tyreek Hill","WR","KC",12,16.1,2.57,0.17,12.5,19,7.25,5.83,6.52,15,23,31,7,"3",32,NA,NA,49,5
"Justin Jefferson","WR","MIN",7,15.9,2.62,0.313,12.7,19.5,7.08,6.06,7.01,16,21,28,8,"3",26,NA,NA,50,1
"Najee Harris","RB","PIT",7,16,1.39,0.227,14.4,18,7.04,8.42,6.39,17,7,32,6,"2",28,NA,NA,24,0
"Sony Michel","RB","LAR",11,15.7,3.3,0.259,12.4,19.9,6.82,6.37,8.32,18,18,24,7,"2",31,NA,NA,76,3
"Stefon Diggs","WR","BUF",7,15.6,1.85,0.0647,12.9,17.9,6.77,6.22,5.4,19,19,36,9,"4",32,NA,NA,32,6
"Ja'Marr Chase","WR","CIN",10,15.5,4.16,0.959,11.3,22.5,6.7,4.71,10.1,20,31,16,10,"4",26,NA,NA,84,0
"Damien Harris","RB","NE",14,15.5,7.09,0.0107,10,28.3,6.56,4.02,16.7,21,39,4,8,"2",56,NA,NA,97,2
"Austin Ekeler","RB","LAC",7,15.5,0.655,0.267,15,16.6,6.55,8.98,4.97,22,5,42,9,"2",30,NA,NA,3,NA
"Alvin Kamara","RB","NO",6,15.2,2.73,0.345,10.3,17.7,6.28,4.34,6.12,23,34,33,10,"3",30,NA,NA,64,4
"Aaron Jones","RB","GB",13,14.9,1.23,0.0125,13.4,16.7,5.93,7.41,5.06,24,11,41,11,"3",31,NA,NA,16,4
"Josh Jacobs","RB","LVR",8,14.8,1.96,0.167,12.9,17.6,5.92,6.88,6.01,25,12,34,12,"3",28,NA,NA,40,2
