"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Davante Adams","WR","GB",13,19.6,0.225,0.81,19.3,19.8,19.3,0,0,1,45,42,1,"1",33,NA,NA,3,7
"Cooper Kupp","WR","LAR",11,18.8,1.08,1.71,17.6,19.4,18.5,-1.78,-0.372,2,97,57,2,"2",32,NA,NA,37,4
"Ja'Marr Chase","WR","CIN",10,17.1,1.24,1.32,15.9,18.3,16.8,-3.41,-1.49,3,109,82,3,"3",26,NA,NA,47,0
"Mike Evans","WR","TB",9,15.8,1.65,0.311,14.2,17.4,15.5,-5.1,-2.4,4,117,102,4,"3",32,NA,NA,70,7
"Deebo Samuel","WR","SF",6,15.4,4.37,0.49,11,18.9,15.2,-8.33,-0.856,5,128,73,5,"4",30,NA,NA,99,2
"A.J. Brown","WR","TEN",13,15,2.35,0.0571,12.9,17.3,14.7,-6.4,-2.46,6,122,103,6,"4",28,NA,NA,83,2
"Tyreek Hill","WR","KC",12,14.9,1.21,0.215,13.5,15.7,14.6,-5.81,-4.1,7,120,117,7,"4",32,NA,NA,43,5
"Stefon Diggs","WR","BUF",7,14.7,0.86,1.94,13.7,15.2,14.4,-5.64,-4.56,8,119,121,8,"5",32,NA,NA,23,6
"Travis Kelce","TE","KC",12,15.4,2.81,2.67,12.8,18.1,14.2,11.9,16.6,9,1,1,1,"1",36,NA,NA,93,8
"Tee Higgins","WR","CIN",10,12.7,1.53,1.48,11.7,14.3,12.5,-7.68,-5.44,10,126,125,9,"6",27,NA,NA,63,1
"Rob Gronkowski","TE","TB",9,12.7,3.15,0.0699,9.29,15.2,11.6,8.36,13.7,11,3,2,2,"1",36,NA,NA,99,11
"George Kittle","TE","SF",6,12.6,2.23,5.46,10.6,14.8,11.5,9.63,13.2,12,2,3,3,"2",32,NA,NA,87,4
"Allen Lazard","WR","GB",13,11.3,3.42,0.643,7.76,14.3,11,-11.6,-5.43,13,142,123,10,"6",30,NA,NA,93,3
"Odell Beckham","WR","LAR",11,10.6,3.09,0.482,8.65,13.8,10.3,-10.7,-5.96,14,135,126,11,"6",33,NA,NA,87,7
"Gabriel Davis","WR","BUF",7,10.1,3.4,0.784,6.6,13.1,9.86,-12.7,-6.63,15,146,128,12,"7",27,NA,NA,90,1
"Brandon Aiyuk","WR","SF",6,9.35,0.669,1.52,8.84,10.1,9.07,-10.5,-9.66,16,133,136,13,"8",28,NA,NA,13,1
"Tyler Boyd","WR","CIN",10,7.83,2.14,1.07,5.65,9.45,7.55,-13.7,-10.3,17,149,137,14,"9",31,NA,NA,80,5
"Randall Cobb","WR","GB",13,6.76,1.91,0.144,4.8,8.13,6.48,-14.5,-11.6,18,153,139,15,"9",35,NA,NA,77,10
"Byron Pringle","WR","KC",12,6.62,0.71,0.209,5.88,7.24,6.34,-13.5,-12.5,19,147,144,16,"9",56,NA,NA,17,3
"Cole Beasley","WR","BUF",7,6.41,0.961,0.0598,5.53,7.36,6.13,-13.8,-12.4,20,150,142,17,"9",37,NA,NA,30,9
"Tyler Johnson","WR","TB",9,6.35,1.32,0.159,4.87,7.38,6.07,-14.5,-12.4,21,152,141,18,"10",27,NA,NA,60,1
"Dawson Knox","TE","BUF",7,7.18,0.446,0.269,6.79,7.64,6.03,5.86,6.1,22,4,5,4,"2",29,NA,NA,20,2
"Van Jefferson","WR","LAR",11,6.19,1.1,0.13,5.16,7.26,5.91,-14.2,-12.5,23,151,143,19,"10",29,NA,NA,40,1
"Julio Jones","WR","TEN",13,6.06,0.331,0.838,5.69,6.31,5.78,-13.7,-13.5,24,148,149,20,"10",37,NA,NA,10,10
"Tyler Higbee","TE","LAR",11,6.91,1.2,1.59,6.21,8.28,5.76,5.28,6.74,25,5,4,5,"3",33,NA,NA,67,5
"Emmanuel Sanders","WR","BUF",7,5.22,1.56,0.0897,3.8,6.79,4.94,-15.5,-13,26,156,146,21,"10",39,NA,NA,67,11
"Mecole Hardman","WR","KC",12,5.13,0.927,0.202,4.42,6.16,4.85,-14.9,-13.6,27,154,150,22,"11",28,NA,NA,27,2
"Jauan Jennings","WR","SF",6,4.93,0.753,1.14,4.29,5.73,4.65,-15,-14,28,155,151,23,"12",28,NA,NA,20,1
"C.J. Uzomah","TE","CIN",10,5.32,0.895,1.25,4.5,6.22,4.17,3.57,4.67,29,6,6,6,"4",33,NA,NA,53,6
"Marquez Valdes-Scantling","WR","GB",13,3.8,3.55,0.0774,1.52,6.4,3.52,-17.8,-13.4,30,161,148,24,"12",31,NA,NA,97,3
"Nick Westbrook-Ikhine","WR","TEN",13,3.72,1.89,0.653,1.81,5.27,3.44,-17.5,-14.5,31,160,152,25,"12",29,NA,NA,73,1
"Devin White","LB","TB",9,7.65,2.46,0.568,5.97,9.35,3.23,2.12,4.11,32,9,7,1,"1",28,NA,NA,75,2
"Anthony Firkser","TE","TEN",13,4.07,1.18,0.548,3.09,5.34,2.92,2.16,3.79,33,8,9,7,"4",31,NA,NA,60,3
"Isaiah McKenzie","WR","BUF",7,3.06,1.28,0.206,2.2,4.52,2.78,-17.1,-15.2,34,158,157,26,"12",31,NA,NA,57,4
"Fred Warner","LB","SF",6,7.08,3.05,0.0942,5,9.19,2.66,1.15,3.95,35,15,8,2,"1",29,NA,NA,95,3
"Demarcus Robinson","WR","KC",12,2.86,1.01,0.387,2.19,4.01,2.58,-17.2,-15.8,36,159,158,27,"13",31,NA,NA,33,5
"Tremaine Edmunds","LB","BUF",7,6.98,2.9,0.359,5,8.99,2.57,1.15,3.76,37,14,10,3,"1",28,NA,NA,90,3
"Josiah Deguara","TE","GB",13,3.52,1.45,0.497,2.05,4.68,2.37,1.12,3.13,38,16,11,8,"5",29,NA,NA,80,1
"Germaine Pratt","LB","CIN",10,6.63,0.891,0.211,6.02,7.24,2.21,2.17,2,39,7,17,4,"1",29,NA,NA,45,2
"Chester Rogers","WR","TEN",13,2.47,0.249,0.472,2.23,2.69,2.19,-17.1,-17.1,40,157,162,28,"13",32,NA,NA,7,5
"DeVondre Campbell","LB","GB",13,6.41,1.13,0.253,5.64,7.2,2,1.79,1.96,41,10,18,5,"1",32,NA,NA,55,5
"Geoff Swaim","TE","TEN",13,3.02,1.44,0.265,1.55,4.04,1.87,0.624,2.49,42,27,13,9,"5",NA,NA,NA,73,NA
"Aaron Donald","DL","LAR",11,4.64,1.34,0.0504,3.72,5.57,1.79,1.31,2.44,43,11,14,1,"1",34,NA,NA,93,7
"Matt Milano","LB","BUF",7,6.16,2.65,0.835,4.35,8,1.75,0.499,2.76,44,29,12,6,"2",31,NA,NA,80,4
"Sam Hubbard","DL","CIN",10,4.59,1.41,0.564,3.63,5.57,1.74,1.21,2.44,45,13,15,2,"2",NA,NA,NA,99,3
"Scott Miller","WR","TB",9,2,NA,0.0899,NA,NA,1.72,NA,NA,46,NA,NA,29,"13",28,NA,NA,NA,2
"Equanimeous St. Brown","WR","GB",13,1.91,1.27,0.226,1.05,2.79,1.63,-18.3,-17,47,163,161,30,"13",29,NA,NA,53,3
"Cameron Brate","TE","TB",9,2.76,0.811,0.939,1.93,3.34,1.61,1,1.79,48,18,19,10,"6",34,NA,NA,47,7
"Jordan Poyer","DB","BUF",7,6.49,1.69,0.308,5.33,7.66,1.56,1.05,2.08,49,17,16,1,"1",35,NA,NA,99,8
"Trent Sherfield","WR","SF",6,1.68,1.25,0.105,0.833,2.55,1.4,-18.5,-17.2,50,164,163,31,"13",30,NA,NA,50,3
"Ben Skowronek","WR","LAR",11,1.58,0.222,0.657,1.41,1.83,1.3,-17.9,-17.9,51,162,164,32,"14",28,NA,NA,1,0
"Jessie Bates","DB","CIN",10,6.18,1.39,0.151,5.23,7.14,1.25,0.945,1.57,52,19,23,2,"1",29,NA,NA,89,3
"Nick Bosa","DL","SF",6,4.03,1.27,0.456,3.16,4.91,1.17,0.747,1.78,53,21,20,3,"2",28,NA,NA,90,2
"Vonn Bell","DB","CIN",10,6.03,1.63,0.128,4.91,7.16,1.1,0.63,1.58,54,26,22,3,"1",31,NA,NA,96,5
"Kevin Byard","DB","TEN",13,5.9,1.25,0.09,5.04,6.77,0.974,0.762,1.19,55,20,26,4,"1",32,NA,NA,79,5
"David Long","LB","TEN",13,5.33,1.75,0.317,4.13,6.54,0.912,0.282,1.3,56,36,25,7,"2",56,NA,NA,70,2
"Adrian Amos","DB","GB",13,5.81,0.325,0.288,5.59,6.03,0.884,1.31,0.459,57,12,35,5,"1",33,NA,NA,21,6
"AShawn Robinson","DL","LAR",11,3.57,1.39,0.173,2.63,4.53,0.718,0.209,1.4,58,39,24,4,"3",31,NA,NA,97,5
"Marcedes Lewis","TE","GB",13,1.82,0.175,0.336,1.66,2,0.67,0.731,0.456,59,22,36,11,"7",41,NA,NA,7,15
"Jaelon Darden","WR","TB",9,0.922,NA,0.028,NA,NA,0.642,NA,NA,60,NA,NA,33,"14",NA,NA,NA,NA,0
"Mike Thomas","WR","CIN",10,0.894,NA,0.112,NA,NA,0.614,NA,NA,61,NA,NA,34,"14",31,NA,NA,NA,5
"Chidobe Awuzie","DB","CIN",10,5.52,0.884,0.227,4.92,6.13,0.596,0.636,0.558,62,25,31,6,"2",30,NA,NA,50,4
"Jayon Brown","LB","TEN",13,5.01,0.7,0.457,4.52,5.49,0.595,0.673,0.249,63,24,38,8,"3",31,NA,NA,35,4
"Titans","DST","TEN",13,5.1,0.573,0.437,4.71,5.5,0.579,0.41,0.713,64,31,29,1,"1",NA,NA,NA,71,NA
"Arik Armstead","DL","SF",6,3.4,1.1,0.0705,2.65,4.16,0.545,0.234,1.03,65,37,27,5,"3",32,NA,NA,79,6
"Racey McMath","WR","TEN",13,0.782,NA,0.502,NA,NA,0.502,NA,NA,66,NA,NA,35,"14",56,NA,NA,NA,0
"B.J. Hill","DL","CIN",10,3.33,1.18,0.0548,2.52,4.15,0.475,0.105,1.02,67,43,28,6,"3",31,NA,NA,86,3
