player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,3.0876
David Bailey,EDGE,3.4038
Carnell Tate,WR,6.0712
Francis Mauigoa,OT,7.0148
Rueben Bain,EDGE,8.0464
Jeremiyah Love,RB,8.950530743040256
Sonny Styles,LB,9.167748478701826
Mansoor Delane,CB,9.891204167501503
Caleb Downs,S,10.351242173298324
Makai Lemon,WR,11.43954938644136
Jermod McCoy,CB,12.469003241491086
Jordyn Tyson,WR,13.33800528133252
Spencer Fano,OT,15.310579500928027
Monroe Freeling,OT,15.591694078947368
Olaivavega Ioane,IOL,16.50353849453142
Dillon Thieneman,S,17.511878081577766
Drew Allar,QB,17.666666666666668
Keldric Faulk,EDGE,17.684123711340206
Kenyon Sadiq,TE,17.712395884370405
Garrett Nussmeier,QB,18.5
Akheem Mesidor,EDGE,19.047460449625312
Kadyn Proctor,OT,19.22145178764897
Omar Cooper Jr.,WR,20.006576063130208
Emmanuel McNeil-Warren,S,21.24781976744186
Blake Miller,OT,22.477007208550834
Caleb Lomu,OT,22.904215404987863
Kevin Concepcion,WR,23.481167818141298
Ty Simpson,QB,24.26283987915408
Peter Woods,DT,24.3664610463788
Avieon Terrell,CB,25.20289064630488
T.J. Parker,EDGE,26.516866158868336
Denzel Boston,WR,26.56789250353607
Kayden McDonald,DT,26.610249307479226
Cashius Howell,EDGE,28.790076335877863
Max Iheanachor,OT,28.8623417721519
Caleb Banks,DT,28.941616766467067
Jadarian Price,RB,29.264705882352942
Emmanuel Pregnon,IOL,29.474719101123597
C.J. Allen,LB,29.590308370044053
Jacob Rodriguez,LB,30.235294117647058
Chase Bisontis,IOL,30.365612648221344
Zion Young,EDGE,30.37106227106227
Colton Hood,CB,30.4424405218726
Christen Miller,DT,30.75
Malachi Lawrence,EDGE,30.81401617250674
Anthony Hill Jr.,LB,31.11111111111111
R Mason Thomas,EDGE,31.16260162601626
Chris Johnson,CB,31.20443587270974
Brandon Cisse,CB,31.317164179104477
Lee Hunter,DT,32.0
