pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,10,5,4,2
3,11,7,6,3
4,12,7,6,6
5,12,10,7,6
6,17,11,9,5
7,17,11,9,6
8,17,10,8,6
9,19,12,10,6
10,21,14,8,4
11,23,13,8,5
12,24,14,9,4
13,26,9,7,5
14,26,12,6,5
15,24,7,6,5
16,30,17,13,5
17,28,12,7,6
18,28,11,6,3
19,29,15,8,5
20,29,17,12,7
21,34,12,9,8
22,35,14,11,7
23,31,14,11,7
24,38,15,9,6
25,37,11,5,3
26,40,17,8,6
27,40,15,13,7
28,40,15,12,4
29,42,16,8,6
30,42,17,11,6
31,44,18,10,7
32,42,15,8,5
