position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5454,-120,0.4546,+120,6.3854
OT,5.5,0.2416,+314,0.7584,-314,5.9556
WR,5.5,0.3248,+208,0.6752,-208,5.637
CB,3.5,0.4916,+103,0.5084,-103,3.501
S,2.5,0.28,+257,0.72,-257,2.7082
LB,2.5,0.9062,-966,0.0938,+966,2.082
DT,1.5,0.3064,+226,0.6936,-226,1.7649928847326692
IOL,1.5,0.7934,-384,0.2066,+384,1.1665962837837838
QB,1.5,0.9324,-1379,0.0676,+1379,1.0676
RB,1.5,0.9918,-12095,0.008199999999999985,+12095,1.0068095333466853
TE,1.5,0.8164,-445,0.18359999999999999,+445,1.0
