position,avg_taken_round1,min,max
EDGE,6.3854,3,9
OT,5.9556,3,7
WR,5.637,3,6
CB,3.501,1,6
S,2.7082,1,3
LB,2.082,1,4
DT,1.7649928847326692,1,4
IOL,1.1665962837837838,1,3
QB,1.0676,1,2
RB,1.0068095333466853,1,2
TE,1.0,1,1
