player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tom Brady,698,QB,TB,1,64.3,56,66,7.1,2.39,3,2,2.9,53.0,35,0,18,2.8,68,1,-0.06,20,30,43.1,53.0,53.0,,2,1,70,0,44.1,11.1,72.2,2.9,2,0,0,5,2,3,4.3,351,5.3
Trevor Lawrence,77632,QB,JAX,1,62.2,45,47,8.2,2.31,1,4,8.2,59.6,28,0,12,0.0,52,0,-0.11,17,15,81.2,66.2,66.3,62.8,0,4,55,1,50.0,16.7,70.2,3.8,2,1,0,1,4,1,1.8,288,6.1
Skylar Thompson,60417,QB,MIA,1,52.5,40,45,12.0,3.14,0,2,4.3,40.0,18,0,20,14.3,51,3,-0.25,12,17,80.8,51.2,52.2,54.6,2,2,53,0,29.4,20.0,44.7,7.8,4,2,0,3,1,2,3.8,220,4.9
Justin Herbert,28237,QB,LAC,1,75.0,36,44,6.4,2.69,4,0,0.0,59.1,26,0,16,3.7,48,1,0.15,14,27,80.5,60.5,59.9,59.8,0,0,49,0,39.6,18.8,85.1,6.3,3,1,0,4,1,1,2.0,277,6.3
Josh Allen,46601,QB,BUF,1,66.7,36,39,16.5,3.15,1,7,17.1,59.0,23,0,21,4.2,48,1,-0.33,17,4,23.1,76.9,77.9,52.4,0,2,50,0,43.8,33.3,93.1,14.6,7,2,0,2,3,3,6.0,352,9.0
Kirk Cousins,7102,QB,MIN,1,86.5,37,39,7.0,2.58,0,1,2.5,79.5,31,0,17,3.1,39,1,0.24,16,18,79.4,83.5,80.6,62.9,1,0,40,0,56.4,0.0,112.9,0.0,0,0,0,1,2,0,0.0,273,7.0
Daniel Jones,39395,QB,NYG,1,84.4,32,35,5.8,2.96,1,1,2.7,68.6,24,0,15,11.1,44,3,0.53,19,21,81.9,80.9,76.7,73.6,0,0,46,0,63.6,20.0,114.1,6.8,3,6,0,2,2,0,0.0,301,8.6
Geno Smith,7820,QB,SEA,1,76.5,34,35,9.5,2.84,0,1,2.6,71.4,25,0,10,3.8,41,1,0.11,16,29,29.5,63.8,60.9,69.2,0,1,45,0,51.2,30.0,98.9,7.3,3,3,0,1,2,2,4.4,253,7.2
Dak Prescott,10769,QB,DAL,1,93.3,30,33,8.5,2.8,1,1,3.0,75.8,25,0,10,10.7,37,3,0.73,17,9,79.4,88.6,88.3,69.2,1,0,37,1,62.2,10.0,143.3,2.7,1,3,0,1,4,0,0.0,305,9.2
Joe Burrow,28022,QB,CIN,1,75.0,32,32,6.3,2.54,0,2,5.7,71.9,23,0,11,4.2,39,1,-0.01,12,7,79.7,84.2,83.1,63.6,0,0,42,0,48.7,36.4,99.6,10.3,4,3,0,0,1,0,0.0,209,6.5
Brock Purdy,77672,QB,SF,1,67.9,28,30,12.5,3.44,0,1,3.2,60.0,18,0,8,5.3,33,1,0.62,16,28,78.8,73.6,67.3,79.2,0,0,34,0,57.6,12.5,131.5,3.0,1,1,0,2,3,0,0.0,332,11.1
Tyler Huntley,46448,QB,BLT,1,63.0,27,29,7.0,3.15,1,1,3.3,58.6,17,0,13,0.0,34,0,0.01,11,3,28.9,48.1,57.2,37.0,1,1,36,0,41.2,15.4,92.0,5.9,2,3,0,0,2,1,2.8,226,7.8
Justin Jefferson,61398,WR,MIN,1,100.0,1,1,-6.0,3.0,0,0,0.0,100.0,1,0,0,0.0,1,0,-2.3,0,18,70.1,62.8,60.4,,0,0,1,0,0.0,,79.2,0.0,0,0,0,0,0,0,0.0,-2,-2.0
